"unique_id","month","province","district","territory","ppl_killed","adults_kidnapped","infants_kidnapped"
99,"10-May","Orientale","Haut-Uele","Dungu",4,1,
100,"10-May","Orientale","Haut-Uele","Dungu",1,,
101,"10-May","Orientale","Haut-Uele","Dungu",3,,
102,"10-May","Orientale","Haut-Uele","Dungu",,,
103,"10-May","Orientale","Haut-Uele","Dungu",,,
104,"10-May","Orientale","Bas-Uele","Ango",,,
105,"10-Jul","Orientale","Haut-Uele","Dungu",,,
106,"10-Jul","Orientale","Haut-Uele","Dungu",1,11,3
107,"10-Jul","Orientale","Haut-Uele","Dungu",,,
108,"10-Jul","Orientale","Haut-Uele","Dungu",,,
109,"10-Jul","Orientale","Haut-Uele","Dungu",3,,
110,"10-Jul","Orientale","Haut-Uele","Dungu",,,
111,"10-Jul","Orientale","Haut-Uele","Dungu",,,
112,"10-Jul","Orientale","Haut-Uele","Dungu",,,
113,"10-Jul","Orientale","Haut-Uele","Dungu",,,
114,"10-Jul","Orientale","Haut-Uele","Dungu",,,
115,"10-Jul","Orientale","Haut-Uele","Dungu",,,
116,"10-Jul","Orientale","Haut-Uele","Dungu",,,
117,"10-Jul","Orientale","Haut-Uele","Dungu",,,
118,"10-Jul","Orientale","Haut-Uele","Dungu",,4,2
119,"10-Jul","Orientale","Haut-Uele","Dungu",,,
120,"10-Jul","Orientale","Haut-Uele","Dungu",,,
121,"10-Jul","Orientale","Haut-Uele","Dungu",2,,
122,"10-Jul","Orientale","Haut-Uele","Dungu",,,
123,"10-Jul","Orientale","Haut-Uele","Faradje",,,3
124,"10-Jul","Orientale","Haut-Uele","Faradje",,1,1
125,"10-Jul","Orientale","Haut-Uele","Faradje",1,,
126,"10-Jul","Orientale","Haut-Uele","Faradje",,,
127,"10-Jul","Orientale","Haut-Uele","Faradje",1,,
128,"10-Jul","Orientale","Haut-Uele","Niangara",1,,
129,"10-Jul","Orientale","Haut-Uele","Niangara",1,,
130,"10-Jul","Orientale","Haut-Uele","Niangara",1,,
131,"10-Jul","Orientale","Haut-Uele","Niangara",2,,
132,"10-Aug","Orientale","Haut-Uele","Dungu",3,,
133,"10-Aug","Orientale","Haut-Uele","Dungu",4,,
134,"10-Aug","Orientale","Haut-Uele","Dungu",,1,
135,"10-Aug","Orientale","Haut-Uele","Dungu",1,,
136,"10-Aug","Orientale","Haut-Uele","Dungu",,2,
137,"10-Aug","Orientale","Haut-Uele","Dungu",2,,3
138,"10-Aug","Orientale","Haut-Uele","Dungu",,2,
139,"10-Aug","Orientale","Haut-Uele","Dungu",1,1,
140,"10-Aug","Orientale","Haut-Uele","Dungu",,4,
141,"10-Aug","Orientale","Haut-Uele","Dungu",,1,
142,"10-Aug","Orientale","Haut-Uele","Dungu",,8,
143,"10-Aug","Orientale","Haut-Uele","Dungu",,1,
144,"10-Aug","Orientale","Haut-Uele","Dungu",3,4,
145,"10-Aug","Orientale","Haut-Uele","Dungu",1,,
146,"10-Aug","Orientale","Haut-Uele","Dungu",1,,
147,"10-Aug","Orientale","Bas-Uele","Ango",12,,
148,"10-Sep","Orientale","Haut-Uele","Dungu",3,3,
149,"10-Sep","Orientale","Haut-Uele","Dungu",1,,
150,"10-Sep","Orientale","Haut-Uele","Dungu",4,4,
151,"10-Sep","Orientale","Haut-Uele","Dungu",2,,
152,"10-Sep","Orientale","Haut-Uele","Dungu",1,,
153,"10-Sep","Orientale","Haut-Uele","Dungu",2,,1
154,"10-Sep","Orientale","Haut-Uele","Dungu",,,
155,"10-Sep","Orientale","Haut-Uele","Dungu",1,,1
156,"10-Sep","Orientale","Haut-Uele","Dungu",,1,1
157,"10-Sep","Orientale","Haut-Uele","Dungu",,5,
158,"10-Sep","Orientale","Haut-Uele","Dungu",,3,
159,"10-Sep","Orientale","Haut-Uele","Dungu",,12,
160,"10-Sep","Orientale","Haut-Uele","Dungu",,1,
161,"10-Sep","Orientale","Haut-Uele","Dungu",2,1,1
162,"10-Sep","Orientale","Haut-Uele","Dungu",,,1
163,"10-Sep","Orientale","Haut-Uele","Dungu",1,3,
164,"10-Sep","Orientale","Haut-Uele","Dungu",1,,
165,"10-Sep","Orientale","Haut-Uele","Dungu",1,,2
166,"10-Sep","Orientale","Haut-Uele","Dungu",1,1,
167,"10-Sep","Orientale","Haut-Uele","Faradje",,,
168,"10-Sep","Orientale","Haut-Uele","Faradje",,,2
169,"10-Sep","Orientale","Haut-Uele","Niangara",,2,2
170,"10-Sep","Orientale","Haut-Uele","Niangara",,1,
171,"10-Sep","Orientale","Bas-Uele","Poko",,,
172,"10-Sep","Orientale","Bas-Uele","Poko",,,
173,"10-Oct","Orientale","Haut-Uele","Dungu",,,
174,"10-Oct","Orientale","Haut-Uele","Dungu",1,,
175,"10-Oct","Orientale","Haut-Uele","Dungu",,,
176,"10-Oct","Orientale","Haut-Uele","Dungu",,,1
177,"10-Oct","Orientale","Haut-Uele","Dungu",,,
178,"10-Oct","Orientale","Haut-Uele","Dungu",1,,
179,"10-Oct","Orientale","Haut-Uele","Dungu",1,,
180,"10-Oct","Orientale","Haut-Uele","Dungu",,,
181,"10-Oct","Orientale","Haut-Uele","Dungu",1,,
182,"10-Oct","Orientale","Haut-Uele","Dungu",,,
183,"10-Oct","Orientale","Haut-Uele","Dungu",,,
184,"10-Oct","Orientale","Haut-Uele","Dungu",1,,
