unique_id,province,territory,locality,place,axe,source,date_incident,month,month_text,type_incident,category,sub_category,num_missing,num_injured,num_deaths
489,Nord Kivu,Rutshuru,Kishishe,Voie publique,Kishishe - Bambo,MSF-F,3/15/12,12-Mar,Mar-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
490,Nord Kivu,Walikale,Kilambo,Voie publique,Walikale - Osso,OCHA,3/15/12,12-Mar,Mar-12,Exactions,Perturbations,manifestations,0,0,0
491,Sud Kivu,Uvira,Rutemba,Voie publique,Nord Uvira,UNDSS,3/16/12,12-Mar,Mar-12,Agression armee,Voie de fait  avec violence,Voie de fait,0,0,0
492,Nord Kivu,Goma,Quartier Virunga,Domicile,Goma,Solidarit_s,3/17/12,12-Mar,Mar-12,Cambriolage,Introduction dans une maison par effraction,Tentative d'introduction par effraction,0,0,0
493,Nord Kivu,Goma,Quartier les volcans,Bureau,Goma,SC-UK,3/18/12,12-Mar,Mar-12,Cambriolage,S_curit_ des bureaux,Introduction dans un bureau par effraction,0,1,0
494,Kinshasa,Lemba,Rond Point Ngaba,Lieu public,Entre les Communes de Lemba et de Makala,UNDSS,3/19/12,12-Mar,Mar-12,Exactions,Detention physique,Arrestation,0,0,0
495,Kinshasa,Limete,Quartier Industriel,Voie publique,7ème rue limete,UNDSS,3/21/12,12-Mar,Mar-12,Exactions,Agression physique,,0,0,0
496,Nord Kivu,Goma,Quartier Mabanga Sud,Domicile,Goma,UNDSS,3/21/12,12-Mar,Mar-12,Cambriolage,Introduction dans une maison par effraction,Sans violence physique,0,0,0
497,Sud Kivu,Bukavu,Bukavu,Domicile,Bukavu,UNDSS,3/21/12,12-Mar,Mar-12,Cambriolage,Introduction dans une maison par effraction,Sans violence physique,0,0,0
498,Nord Kivu,Goma,Quartier Himbi,Domicile,Goma,SC-UK,3/24/12,12-Mar,Mar-12,Cambriolage,Introduction dans une maison par effraction,Sans violence physique,0,0,0
499,Nord Kivu,Goma,Quartier Himbi,Domicile,Goma,UNDSS,3/27/12,12-Mar,Mar-12,Cambriolage,Introduction dans une maison par effraction,Tentative d'introduction par effraction,0,0,0
500,Nord Kivu,Masisi,Mweso,Voie publique,Kitchanga - Mweso,PU-AMI,3/28/12,12-Mar,Mar-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
501,Katanga,Lubumbashi,quartier Kigoma,Bureau,quartier kiigoma,Monusco,4/2/12,12-Apr,Apr-12,Agression armee,S_curit_ des bureaux,Introduction dans un bureau par effraction,0,0,0
502,Sud Kivu,Fizi,Kikonde,Voie publique,Malinde-Kazimia,UNOPS,4/3/12,12-Apr,Apr-12,Agression armee,Agression physique,Meurtre,0,0,4
503,Nord Kivu,Rutshuru,Katwe,Voie publique,Katwe - Kikuku,MSF-F,4/4/12,12-Apr,Apr-12,Agression armee,Agression physique,Prise d'otage,2,0,0
504,Nord Kivu,Rutshuru,Katwe,Voie publique,Katwe - Nyanazale,MSF-F,4/4/12,12-Apr,Apr-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
505,Orientale,Ango,Dakwa,Voie publique,_ 45 km sur le pont Assi.,Samaritan's purse,4/5/12,12-Apr,Apr-12,Agression armee,Vol de rue,Avec violence physique,0,0,0
506,Sud Kivu,Fizi,Baraka,Domicile,Baraka,SVH,4/5/12,12-Apr,Apr-12,Pillage,Introduction dans une maison par effraction,Sans violence physique,0,0,0
507,Sud Kivu,Bukavu,Bukavu,Bureau,Av Tanganyika,CFIDH,4/6/12,12-Apr,Apr-12,Cambriolage,S_curit_ des bureaux,Introduction dans un bureau par effraction,0,0,0
508,Sud Kivu,Fizi,Ake,Voie publique,Ake-Lusambo,NRC,4/9/12,12-Apr,Apr-12,Agression armee,Perturbations,Bagare routier,0,0,0
509,Nord Kivu,Masisi,Kasengesi,Voie publique,Goma - Sake,AIRD,4/13/12,12-Apr,Apr-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
510,Nord Kivu,Masisi,Osso,Voie publique,Sake - Masisi Centre,CICR,4/15/12,12-Apr,Apr-12,Agression armee,Vol de rue,Avec violence physique,0,1,0
