"unique_id","month","month_text","province","district","territory","locality","ppl_killed","adults_kidnapped","infants_kidnapped"
51,"10-Feb","February-2010","Orientale","Haut-Uele","Niangara","NE de Mapi le long de la riviere Mbwele",2,0,0
52,"10-Feb","February-2010","Orientale","Bas-Uele","Ango","Dakwa (85 km E d Ango)",,4,0
53,"10-Feb","February-2010","Orientale","Bas-Uele","Ango","Dakwa (85 km E d Ango)",2,0,0
54,"10-Feb","February-2010","Orientale","Bas-Uele","Ango","Le long de la Riviere Mbomu a la frontiere RDC - RCA",2,2,0
55,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Yabua ( 8 km O de Bangadi)",1,,
56,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Badolo (9 km NO de Bangadi",2,,
57,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Yabua ( 8 km O de Bangadi",2,,
58,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Nangwa (18 km NO de Bangadi)",1,,
59,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Yabua ( 8 km O de Bangadi",1,,
60,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Bilisi (13 km E de Bangadi)",1,,
61,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Malingbundu (8 km E de Bangadi)",2,,
62,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Makusara (25 km SO de Ngilima)",3,,19
63,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Yamba (15 km S de Bangadi)",1,,
64,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Ndorenzi (18 km N de Duru)",5,1,
65,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Kpanangbala (60 km NO de Doruma)",,,
66,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Lindimbia (25 km NO de Bangadi)",2,,
67,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Madudu (12 km E de Bangadi)",3,,
68,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Nambia (5 km S de Duru)",3,2,
69,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Badolo (9 km NO de Bangadi)",3,1,
70,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Limay (25 km N de Dungu)",,,1
71,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Makusa (28 km N de Bangadi)",3,1,
72,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Gangu (102 km E de Dungu – Route Fardaje)",1,,
73,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Makusa (28 km N de Bangadi)",1,,
74,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Mapusa (24 km NO de Doruma)",3,2,
75,"10-Mar","March-2010","Orientale","Haut-Uele","Dungu","Linakofo (500 m N de l aero MONUC)",1,2,2
76,"10-Apr","April-2010","Orientale","Haut-Uele","Dungu","Kpaika (65 km N de Dungu)",,,
77,"10-Apr","April-2010","Orientale","Haut-Uele","Dungu","Nakpudu (7 km S de Bangadi)",1,,
78,"10-Apr","April-2010","Orientale","Haut-Uele","Dungu","Sambia (140 km E de Dungu)",1,,12
79,"10-Apr","April-2010","Orientale","Haut-Uele","Dungu","Kpaika (65 km N de Dungu)",,,2
80,"10-Apr","April-2010","Orientale","Haut-Uele","Dungu","Ariwara Moke (110 km SE de Dungu)",,,
81,"10-Apr","April-2010","Orientale","Haut-Uele","Dungu","Tongo (10 km NO de Limay)",1,3,2
82,"10-Apr","April-2010","Orientale","Haut-Uele","Dungu","Nawangu (5 km S de Doruma)",,1,
83,"10-Apr","April-2010","Orientale","Haut-Uele","Dungu","Naïsa (7 km S de Doruma)",,1,
84,"10-Apr","April-2010","Orientale","Haut-Uele","Dungu","Milagbe (12 km S de Doruma)",,1,
85,"10-Apr","April-2010","Orientale","Haut-Uele","Dungu","Kpaika (65 km N de Dungu)",,,2
86,"10-Apr","April-2010","Orientale","Haut-Uele","Dungu","Nakpudu (7 km S de Bangadi)",,2,
87,"10-Apr","April-2010","Orientale","Haut-Uele","Dungu","Lidunde (45 km NO de Bangadi",2,,
88,"10-Apr","April-2010","Orientale","Haut-Uele","Dungu","Yabua (8 km O de Bangadi)",1,,
89,"10-Apr","April-2010","Orientale","Haut-Uele","Niangara","Nambia (15 km N de Niangara)",2,,1
90,"10-Apr","April-2010","Orientale","Haut-Uele","Niangara","Quatier Zande (2 km N de Niangara)",,,1
91,"10-Apr","April-2010","Orientale","Haut-Uele","Niangara","Bamunga (8 km N de Niangara)",1,,
92,"10-May","May-2010","Orientale","Haut-Uele","Dungu","Nandike (15 km NO Bangadi)",,1,
93,"10-May","May-2010","Orientale","Haut-Uele","Dungu","Dika (40 km NO Bangadi)",2,,
94,"10-May","May-2010","Orientale","Haut-Uele","Dungu","Kiliwa (45 km N Dungu)",2,,
95,"10-May","May-2010","Orientale","Haut-Uele","Dungu","Kiliwa (45 km N Dungu)",,,
96,"10-May","May-2010","Orientale","Haut-Uele","Dungu","Nabagu (10 km O de Kapili)",,,
97,"10-May","May-2010","Orientale","Haut-Uele","Dungu","Nambili (10 km SE de Kapili)",,,
98,"10-May","May-2010","Orientale","Haut-Uele","Dungu","Naguga (18 km N de Dungu)",2,,
99,"10-May","May-2010","Orientale","Haut-Uele","Dungu","Babile (10 km S de Duru)",4,1,
100,"10-May","May-2010","Orientale","Haut-Uele","Dungu","Nandike (15 km NO de Bangadi)",1,,
101,"10-May","May-2010","Orientale","Haut-Uele","Dungu","Yamba (15 km S Bangadi)",3,,
102,"10-May","May-2010","Orientale","Haut-Uele","Dungu","Bangadi (125 km NO de Dungu)",,,
103,"10-May","May-2010","Orientale","Haut-Uele","Dungu","Naango (40 km NO de Dungu)",,,
104,"10-May","May-2010","Orientale","Bas-Uele","Ango","Bayule (55 km SO Ango)",,,
105,"10-Jul","July-2010","Orientale","Haut-Uele","Dungu","Bagugu (15 km N de Doruma)",,,
106,"10-Jul","July-2010","Orientale","Haut-Uele","Dungu","Milagbe (12 km SE de Doruma)",1,11,3
107,"10-Jul","July-2010","Orientale","Haut-Uele","Dungu","Mogoloko (20 km N de Duru)",,,
108,"10-Jul","July-2010","Orientale","Haut-Uele","Dungu","Nangondi (80 km E Dungu route Faradje)",,,
109,"10-Jul","July-2010","Orientale","Haut-Uele","Dungu","Akalingo (2 km SE de Ngilima)",3,,
110,"10-Jul","July-2010","Orientale","Haut-Uele","Dungu","Yamba (10 km S de Bangadi)",,,
111,"10-Jul","July-2010","Orientale","Haut-Uele","Dungu","Taduru (20 km NO Li-Mayi)",,,
112,"10-Jul","July-2010","Orientale","Haut-Uele","Dungu","Naango ",,,
113,"10-Jul","July-2010","Orientale","Haut-Uele","Dungu","Babile (20 km S de Duru",,,
114,"10-Jul","July-2010","Orientale","Haut-Uele","Dungu","Yabinzo (35 km NE de Bangadi)",,,
115,"10-Jul","July-2010","Orientale","Haut-Uele","Dungu","Bitima (25 N de Duru)",,,
116,"10-Jul","July-2010","Orientale","Haut-Uele","Dungu","PK 16 NE de Bangadi",,,
117,"10-Jul","July-2010","Orientale","Haut-Uele","Dungu","Napopo (25 km NE de Bangadi)",,,
118,"10-Jul","July-2010","Orientale","Haut-Uele","Dungu","Kapili (75 km NO de Dungu)",,4,2
119,"10-Jul","July-2010","Orientale","Haut-Uele","Dungu","Naweneangwa (30 km N de Ngilima)",,,
120,"10-Jul","July-2010","Orientale","Haut-Uele","Dungu","Bitima (25 N de Duru)",,,
121,"10-Jul","July-2010","Orientale","Haut-Uele","Dungu","Nadogolo (25 km NO Dungu)",2,,
122,"10-Jul","July-2010","Orientale","Haut-Uele","Dungu","1 km SO de Ngilima",,,
123,"10-Jul","July-2010","Orientale","Haut-Uele","Faradje","Gbere (55 km N de Faradje",,,3
124,"10-Jul","July-2010","Orientale","Haut-Uele","Faradje","Lalibe (7 km N de Faradje)",,1,1
125,"10-Jul","July-2010","Orientale","Haut-Uele","Faradje","Mala (5 km S de Faradje)",1,,
126,"10-Jul","July-2010","Orientale","Haut-Uele","Faradje","Bava (27 km S de Faradje)",,,
127,"10-Jul","July-2010","Orientale","Haut-Uele","Faradje","Mandramandra (28 km S de Tadu)",1,,
128,"10-Jul","July-2010","Orientale","Haut-Uele","Niangara","Nangele (30 km N de Niangara)",1,,
129,"10-Jul","July-2010","Orientale","Haut-Uele","Niangara","Bamunga (8 km N de Naingara)",1,,
130,"10-Jul","July-2010","Orientale","Haut-Uele","Niangara","Nambia (15 km N de Niangara)",1,,
131,"10-Jul","July-2010","Orientale","Haut-Uele","Niangara","Tuku (30 km NO de Niangara)",2,,
132,"10-Aug","August-2010","Orientale","Haut-Uele","Dungu","Taduru (20 km NO Li-Mayi)",3,,
133,"10-Aug","August-2010","Orientale","Haut-Uele","Dungu","Kana (25 km SE de Bangadi)",4,,
134,"10-Aug","August-2010","Orientale","Haut-Uele","Dungu","Milagbe (12 km S de Doruma)",,1,
135,"10-Aug","August-2010","Orientale","Haut-Uele","Dungu","Ngilima (45 km NO de Dungu)",1,,
136,"10-Aug","August-2010","Orientale","Haut-Uele","Dungu","ITAB (7 km E de Bangadi)",,2,
137,"10-Aug","August-2010","Orientale","Haut-Uele","Dungu","CCB (5 km SE de Bangadi)",2,,3
138,"10-Aug","August-2010","Orientale","Haut-Uele","Dungu","Diagbe (35 km NO de Bangadi)",,2,
139,"10-Aug","August-2010","Orientale","Haut-Uele","Dungu","Kumbari (4 km de Bangadi)",1,1,
140,"10-Aug","August-2010","Orientale","Haut-Uele","Dungu","Mbiangu (7 km NO de Kapili)",,4,
141,"10-Aug","August-2010","Orientale","Haut-Uele","Dungu","30 km NE de Bangadi",,1,
142,"10-Aug","August-2010","Orientale","Haut-Uele","Dungu","Kana (25 km SE de Bangadi)",,8,
143,"10-Aug","August-2010","Orientale","Haut-Uele","Dungu","Nangondi (80 km E de Dungu)",,1,
144,"10-Aug","August-2010","Orientale","Haut-Uele","Dungu","3 km SE de Duru",3,4,
145,"10-Aug","August-2010","Orientale","Haut-Uele","Dungu","7 km SE de Duru",1,,
146,"10-Aug","August-2010","Orientale","Haut-Uele","Dungu","8 km O de Mala (7 km S de Faradje)",1,,
147,"10-Aug","August-2010","Orientale","Bas-Uele","Ango","12 km O de Banda",12,,
148,"10-Sep","September-2010","Orientale","Haut-Uele","Dungu","Nagbaka (3 km O de Duru)",3,3,
149,"10-Sep","September-2010","Orientale","Haut-Uele","Dungu","Nangume (100 km E de Dungu)",1,,
150,"10-Sep","September-2010","Orientale","Haut-Uele","Dungu","Naango (40 km NO de Dungu)",4,4,
